,customer_id,customer_name,registration_date,is_vip,order_id,order_date,product_id,product_name,category,unit_price,item_quantity,total_item_price,total_order_value_percentage
0,1,Customer 1,2022-12-31 04:19:19,True,84,2024-02-27 21:24:16,None,None,None,None,None,None,None
1,1,Customer 1,2022-12-31 04:19:19,True,,2025-03-05 08:09:20,1,Item 1 for Order 2,4,52.7,2,105.4,None
2,1,Customer 1,2022-12-31 04:19:19,True,,2025-03-05 08:09:20,2,Item 2 for Order 2,5,498.45,5,2492.25,None
3,1,Customer 1,2022-12-31 04:19:19,True,,2025-03-05 08:09:20,3,Item 3 for Order 2,5,168.15,1,168.15,None
4,1,Customer 1,2022-12-31 04:19:19,True,3,2023-06-09 00:42:50,1,Item 1 for Order 3,1,377.9,1,377.9,None
5,2,Customer 2,2022-05-27 00:23:28,False,3,2023-01-01 07:32:50,None,None,None,None,None,None,None
6,2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,1,Item 1 for Order 5,5,342.68,2,685.36,None
7,2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,2,Item 2 for Order 5,2,134.09,0,0,None
8,2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,3,Item 3 for Order 5,1,295.97,1,295.97,None
9,2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,4,Item 4 for Order 5,5,316.01,4,1264.04,None
10,2,Customer 2,2022-05-27 00:23:28,False,6,2024-08-19 12:44:15,1,Item 1 for Order 6,4,404.43,4,1617.72,None
11,2,Customer 2,2022-05-27 00:23:28,False,6,2024-08-19 12:44:15,2,Item 2 for Order 6, Home Goods ,145.27,3,435.81000000000006,None
12,3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,1,Item 1 for Order 7,1,180.68,3,542.04,None
13,3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,2,Item 2 for Order 7,99,390.37,2,780.74,None
14,3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,,Item 3 for Order 7,4,19.1,5,95.5,None
15,3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,4,Item 4 for Order 7,3,393.32,3,1179.96,None
16,3,Customer 3,2022-01-20 00:24:36,False,7,2025-03-19 19:55:40,None,None,None,None,None,None,None
17,4,Customer 4,2022-05-09 03:51:05,True,,2025-01-02 21:43:33,1,Item 1 for Order 9,2,498.83,1,498.83,None
18,4,Customer 4,2022-05-09 03:51:05,True,,2025-01-02 21:43:33,2,   ,0,37.13,1,37.13,None
19,4,Customer 4,2022-05-09 03:51:05,True,,2025-01-02 21:43:33,3,Item 3 for Order 9,home goods,278.53,2,557.06,None
20,4,Customer 4,2022-05-09 03:51:05,True,,2025-01-02 21:43:33,4,Item 4 for Order 9,5,416.93,2,833.86,None
21,4,Customer 4,2022-05-09 03:51:05,True,10,2025-02-16 23:36:58,1,Item 1 for Order 10,1,140.12,1,140.12,None
22,4,Customer 4,2022-05-09 03:51:05,True,10,2025-02-16 23:36:58,2,Item 2 for Order 10,2,61.37,5,306.84999999999997,None
23,5,Customer 5,2022-03-07 03:27:02,False,None,None,None,None,None,None,None,None,None
24,6,Customer 6,2023-08-07 11:01:29,False,10,2025-06-16 23:38:58,None,None,None,None,None,None,None
25,7,Customer 7,2022-05-05 12:49:27,False,10,2024-03-29 19:35:24,None,None,None,None,None,None,None
26,7,Customer 7,2022-05-05 12:49:27,False,13,2025-01-16 09:12:03,1,Item 1 for Order 13,home goods,10.39,3,31.17,None
27,7,Customer 7,2022-05-05 12:49:27,False,13,2025-01-16 09:12:03,2,Item 2 for Order 13,4,88.83,2,177.66,None
28,7,Customer 7,2022-05-05 12:49:27,False,13,2025-01-16 09:12:03,3,Item 3 for Order 13,2,479.75,5,2398.75,None
29,7,Customer 7,2022-05-05 12:49:27,False,13,2025-01-16 09:12:03,4,Item 4 for Order 13,2,389.02,5,1945.1,None
30,8,Customer 8,2022-01-15 19:06:56,True,ORD14,2023-10-02 15:29:15,1,Item 1 for Order 14,3,343.64,5,1718.1999999999998,None
31,8,Customer 8,2022-01-15 19:06:56,True,15,2023-08-20 02:36:30,,Item 1 for Order 15,2,271.69,4,1086.76,None
32,8,Customer 8,2022-01-15 19:06:56,True,15,2023-08-20 02:36:30,2,Item 2 for Order 15,2,326.56,3,979.6800000000001,None
33,8,Customer 8,2022-01-15 19:06:56,True,15,2023-08-20 02:36:30,3,Item 3 for Order 15,99,0,0,0,None
34,9,Customer 9,2022-01-18 20:53:36,False,16,2023-12-11 16:01:13,1,Item 1 for Order 16,0,455.9,1,455.9,None
35,9,Customer 9,2022-01-18 20:53:36,False,16,2023-12-11 16:01:13,2,Item 2 for Order 16,4,469.09,4,1876.36,None
36,9,Customer 9,2022-01-18 20:53:36,False,16,2023-12-11 16:01:13,3,Item 3 for Order 16,99,16.97,5,84.85,None
37,9,Customer 9,2022-01-18 20:53:36,False,16,2023-12-11 16:01:13,4,Item 4 for Order 16,0,99.69,1,99.69,None
38,9,Customer 9,2022-01-18 20:53:36,False,17,2024-06-12 14:20:30,1,Item 1 for Order 17,2,349.2,1,349.2,None
39,9,Customer 9,2022-01-18 20:53:36,False,18,2025-03-01 16:45:51,1,Item 1 for Order 18,1,466.33,1,466.33,None
40,9,Customer 9,2022-01-18 20:53:36,False,18,2025-03-01 16:45:51,2,Item 2 for Order 18,3,33.03,3,99.09,None
41,9,Customer 9,2022-01-18 20:53:36,False,19,2025-03-31 16:55:58,1,Item 1 for Order 19,1,362.25,2,724.5,None
42,10,Customer 10,2024-04-06 17:57:38,False,20,2025-05-30 19:26:40,1,Item 1 for Order 20,4,342.76,2,685.52,None
43,10,Customer 10,2024-04-06 17:57:38,False,21,2025-03-25 10:08:03,1,Item 1 for Order 21,1,447.97,5,2239.8500000000004,None
44,10,Customer 10,2024-04-06 17:57:38,False,21,2025-03-25 10:08:03,2,Item 2 for Order 21,1,416.21,3,1248.6299999999999,None
45,11,Customer 11,2022-03-17 02:58:46,True,None,None,None,None,None,None,None,None,None
46,12,Customer 12,2023-07-09 00:00:00,False,22,2025-04-19 18:17:21,1,Item 1 for Order 22,3,46.84,1,46.84,None
47,12,Customer 12,2023-07-09 00:00:00,False,22,2025-04-19 18:17:21,2,Item 2 for Order 22, Home Goods ,47.13,4,188.52,None
48,12,Customer 12,2023-07-09 00:00:00,False,22,2025-04-19 18:17:21,3,Item 3 for Order 22,4,264.4,1,264.4,None
49,12,Customer 12,2023-07-09 00:00:00,False,23,2024-07-13 20:31:44,1,Item 1 for Order 23,99,172.16,5,860.8,None
50,13,Customer 13,2023-10-30 07:34:32,False,23,2024-06-23 21:55:53,None,None,None,None,None,None,None
51,13,Customer 13,2023-10-30 07:34:32,False,25,2024-11-13 16:17:30,,Item 1 for Order 25,0,120.09,3,360.27,None
